GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049,D050,D051,D052,D053,D054,D055,D056,D057,D058,D059,D060,D061,D062,D063,D064,D065,D066,D067,D068,D069,D070,D071,D072,D073
1400000US53047970300,53047970300,"Census Tract 9703, Okanogan County, Washington",7308,1142,6166,6015,5766,35,145,53,4,12,151,144,12,106,16,1,6,0,0,0,0,2,0,0,1,0,0,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
1400000US53047970400,53047970400,"Census Tract 9704, Okanogan County, Washington",3717,764,2953,2875,2777,16,57,21,0,4,78,73,7,58,4,3,0,1,0,0,0,0,0,0,0,0,0,5,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53047970500,53047970500,"Census Tract 9705, Okanogan County, Washington",2321,173,2148,2086,1975,2,93,11,0,5,62,60,12,40,5,1,1,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53047970600,53047970600,"Census Tract 9706, Okanogan County, Washington",6714,875,5839,5629,5091,33,433,64,2,6,210,200,20,144,26,4,2,0,0,0,0,2,0,0,1,1,0,10,3,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53047970700,53047970700,"Census Tract 9707, Okanogan County, Washington",4286,777,3509,3407,3143,13,230,13,6,2,102,92,18,50,12,2,0,3,0,0,0,6,0,1,0,0,0,10,0,0,0,0,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53047970800,53047970800,"Census Tract 9708, Okanogan County, Washington",4930,2720,2210,2165,2066,9,69,9,8,4,45,44,10,19,3,0,3,1,8,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53047970900,53047970900,"Census Tract 9709, Okanogan County, Washington",2220,55,2165,2148,2109,3,20,14,0,2,17,17,5,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53047971000,53047971000,"Census Tract 9710, Okanogan County, Washington",3670,181,3489,3430,3366,5,34,17,4,4,59,52,3,29,15,0,1,2,0,0,2,0,0,0,0,0,0,7,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53049950200,53049950200,"Census Tract 9502, Pacific County, Washington",4267,541,3726,3608,3281,25,87,210,0,5,118,113,12,72,20,2,0,0,1,0,0,1,0,0,3,2,0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53049950300,53049950300,"Census Tract 9503, Pacific County, Washington",3625,433,3192,3017,2723,3,169,117,3,2,175,167,12,125,21,0,4,0,0,0,0,3,0,0,0,2,0,7,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53049950400,53049950400,"Census Tract 9504, Pacific County, Washington",3921,177,3744,3607,3479,19,77,29,2,1,137,122,7,83,22,1,2,0,3,0,0,1,0,0,3,0,0,14,2,1,0,0,0,1,0,7,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53049950500,53049950500,"Census Tract 9505, Pacific County, Washington",2475,138,2337,2286,2239,8,18,21,0,0,51,49,4,35,10,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53049950600,53049950600,"Census Tract 9506, Pacific County, Washington",1263,101,1162,1134,1107,1,10,12,2,2,28,23,0,18,3,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53049950700,53049950700,"Census Tract 9507, Pacific County, Washington",2995,168,2827,2767,2706,7,34,14,3,3,60,53,1,45,4,0,1,1,0,0,0,0,0,0,1,0,0,7,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53049950800,53049950800,"Census Tract 9508, Pacific County, Washington",2374,119,2255,2225,2164,4,32,21,4,0,30,29,2,20,5,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53049990100,53049990100,"Census Tract 9901, Pacific County, Washington",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
