GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD05,VD06,VD07,VD08,VD09,VD10
Id,Id2,Geography,Total,Hispanic or Latino,White_Alone,Black_or_African_American_Alone,American_Indian_and_Alaska_Native_Alone,Asian_Alone,Native_Hawaiian_and_Other_Pacific_Islander_Alone,Some_Other_Race_Alone
1400000US53075000900,53075000900,"Census Tract 9, Whitman County, Washington",4447,81,4169,19,54,68,2,0
1400000US53075001000,53075001000,"Census Tract 10, Whitman County, Washington",2312,36,2218,0,18,13,3,3
1400000US53077000100,53077000100,"Census Tract 1, Yakima County, Washington",2822,1409,1051,67,193,27,1,4
1400000US53077000200,53077000200,"Census Tract 2, Yakima County, Washington",5374,3220,1788,120,83,53,0,7
1400000US53077000300,53077000300,"Census Tract 3, Yakima County, Washington",3905,937,2779,46,36,30,1,8
1400000US53077000400,53077000400,"Census Tract 4, Yakima County, Washington",6543,317,5944,34,22,136,0,3
1400000US53077000500,53077000500,"Census Tract 5, Yakima County, Washington",5011,791,3952,74,55,63,2,8
1400000US53077000600,53077000600,"Census Tract 6, Yakima County, Washington",6485,4200,1919,80,123,29,8,0
1400000US53077000700,53077000700,"Census Tract 7, Yakima County, Washington",6684,1870,4330,122,112,75,14,14
1400000US53077000800,53077000800,"Census Tract 8, Yakima County, Washington",4614,335,4120,25,25,45,3,1
1400000US53077000900,53077000900,"Census Tract 9, Yakima County, Washington",10560,929,8991,76,88,216,12,6
1400000US53077001000,53077001000,"Census Tract 10, Yakima County, Washington",5725,950,4360,99,76,98,7,5
1400000US53077001100,53077001100,"Census Tract 11, Yakima County, Washington",6418,957,5143,65,60,84,1,2
1400000US53077001200,53077001200,"Census Tract 12, Yakima County, Washington",9048,2862,5523,164,168,110,2,4
1400000US53077001300,53077001300,"Census Tract 13, Yakima County, Washington",2463,706,1646,12,29,16,1,1
1400000US53077001400,53077001400,"Census Tract 14, Yakima County, Washington",3303,971,2141,12,81,14,4,0
1400000US53077001500,53077001500,"Census Tract 15, Yakima County, Washington",9617,6455,2403,415,145,32,7,4
1400000US53077001600,53077001600,"Census Tract 16, Yakima County, Washington",8487,974,7182,67,66,50,4,6
1400000US53077001700,53077001700,"Census Tract 17, Yakima County, Washington",6544,1449,4803,36,117,33,2,0
1400000US53077001800,53077001800,"Census Tract 18, Yakima County, Washington",7125,3498,3459,28,43,19,5,8
1400000US53077001900,53077001900,"Census Tract 19, Yakima County, Washington",8089,5448,2467,18,37,65,1,7
1400000US53077002001,53077002001,"Census Tract 20.01, Yakima County, Washington",7819,6325,1349,7,39,23,3,23
1400000US53077002002,53077002002,"Census Tract 20.02, Yakima County, Washington",7463,4717,2553,24,29,64,1,2
1400000US53077002100,53077002100,"Census Tract 21, Yakima County, Washington",8152,4919,3046,7,64,22,0,8
1400000US53077002200,53077002200,"Census Tract 22, Yakima County, Washington",6643,2147,4126,20,133,45,4,29
1400000US53077002300,53077002300,"Census Tract 23, Yakima County, Washington",9545,6954,1499,31,897,24,2,13
1400000US53077002400,53077002400,"Census Tract 24, Yakima County, Washington",4242,1629,1133,8,1241,63,4,6
1400000US53077002500,53077002500,"Census Tract 25, Yakima County, Washington",6492,4346,780,14,1147,101,0,7
1400000US53077002600,53077002600,"Census Tract 26, Yakima County, Washington",6542,2441,2199,14,1473,179,2,6
1400000US53077002701,53077002701,"Census Tract 27.01, Yakima County, Washington",2979,2308,610,2,22,14,0,0
1400000US53077002702,53077002702,"Census Tract 27.02, Yakima County, Washington",4326,660,1448,15,2012,22,2,3
1400000US53077002800,53077002800,"Census Tract 28, Yakima County, Washington",10133,945,8824,53,75,61,2,12
1400000US53077002900,53077002900,"Census Tract 29, Yakima County, Washington",6315,2009,4150,10,50,25,1,5
1400000US53077003000,53077003000,"Census Tract 30, Yakima County, Washington",8065,731,7081,12,60,24,3,7
1400000US53077003100,53077003100,"Census Tract 31, Yakima County, Washington",9183,835,7976,36,76,52,6,4
1400000US53077003200,53077003200,"Census Tract 32, Yakima County, Washington",5865,661,4958,29,70,43,4,2
