GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19,VD20,VD21,VD22,VD23,VD24,VD25,VD26,VD27,VD28,VD29,VD30,VD31,VD32,VD33,VD34,VD35,VD36,VD37,VD38,VD39,VD40,VD41,VD42,VD43,VD44,VD45,VD46,VD47,VD48,VD49,VD50,VD51,VD52,VD53,VD54,VD55,VD56,VD57,VD58,VD59,VD60,VD61,VD62,VD63,VD64,VD65,VD66,VD67,VD68,VD69,VD70,VD71,VD72,VD73
1400000US53033020402,53033020402,"Census Tract 204.02, King County, Washington",5502,155,5347,5110,4178,156,46,703,16,11,237,216,23,40,69,4,38,5,6,0,3,0,0,7,5,16,0,20,9,4,0,0,3,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033020500,53033020500,"Census Tract 205, King County, Washington",6326,242,6084,5785,4685,175,39,862,16,8,299,284,40,53,71,15,47,2,9,0,12,1,0,0,15,19,0,14,3,1,1,1,1,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033020600,53033020600,"Census Tract 206, King County, Washington",3634,141,3493,3326,2555,87,27,636,19,2,167,149,18,33,54,5,8,3,4,0,4,6,0,0,6,8,0,12,2,0,1,0,2,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033020700,53033020700,"Census Tract 207, King County, Washington",3302,209,3093,2954,2375,140,35,383,13,8,139,120,21,30,38,1,8,0,2,1,1,2,0,0,6,6,4,16,5,0,0,1,2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0
1400000US53033020800,53033020800,"Census Tract 208, King County, Washington",4501,132,4369,4257,3917,46,12,258,9,15,112,102,6,21,53,2,7,1,0,0,7,0,0,0,5,0,0,10,2,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033020900,53033020900,"Census Tract 209, King County, Washington",3167,105,3062,2964,2450,50,27,427,5,5,98,95,18,10,44,1,8,0,0,0,4,3,0,0,6,1,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033021000,53033021000,"Census Tract 210, King County, Washington",5699,237,5462,5211,3830,197,68,1094,12,10,251,232,21,42,80,8,15,3,1,1,16,4,0,0,24,15,2,16,9,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033021100,53033021100,"Census Tract 211, King County, Washington",4054,209,3845,3692,2872,187,30,572,19,12,153,146,8,23,62,5,14,1,2,0,6,1,0,1,5,17,1,7,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033021300,53033021300,"Census Tract 213, King County, Washington",4172,182,3990,3845,3217,107,34,466,7,14,145,138,20,23,51,1,22,2,2,0,3,4,0,2,2,6,0,7,3,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033021400,53033021400,"Census Tract 214, King County, Washington",3815,90,3725,3592,3319,48,11,192,7,15,133,122,14,24,47,3,19,0,2,1,1,0,0,1,4,6,0,11,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033021500,53033021500,"Census Tract 215, King County, Washington",4400,65,4335,4223,3847,39,13,312,1,11,112,99,18,11,59,7,3,0,0,0,0,1,0,0,0,0,0,13,0,3,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
