GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049,D050,D051,D052,D053,D054,D055,D056,D057,D058,D059,D060,D061,D062,D063,D064,D065,D066,D067,D068,D069,D070,D071
1400000US53055960100,53055960100,"Census Tract 9601, San Juan County, Washington",5354,5211,4982,19,43,67,11,89,143,137,10,69,43,0,13,0,0,0,0,1,0,0,1,0,0,6,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53055960300,53055960300,"Census Tract 9603, San Juan County, Washington",4761,4672,4547,15,27,35,0,48,89,86,7,53,12,4,9,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53055960400,53055960400,"Census Tract 9604, San Juan County, Washington",2901,2803,2481,8,16,48,4,246,98,94,9,41,25,2,12,0,0,0,1,1,0,0,0,3,0,4,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53055960500,53055960500,"Census Tract 9605, San Juan County, Washington",2753,2684,2587,12,25,31,0,29,69,67,1,28,16,2,12,1,0,0,1,0,0,0,3,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53055990100,53055990100,"Census Tract 9901, San Juan County, Washington",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53057940200,53057940200,"Census Tract 9402, Skagit County, Washington",2181,2124,2003,16,13,56,5,31,57,57,4,18,24,3,3,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53057940300,53057940300,"Census Tract 9403, Skagit County, Washington",4880,4768,4585,15,45,80,7,36,112,107,11,54,31,2,5,0,0,0,0,0,0,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,3
1400000US53057940400,53057940400,"Census Tract 9404, Skagit County, Washington",6839,6632,6356,21,37,131,8,79,207,186,18,69,60,4,19,0,0,0,0,5,1,2,6,2,0,21,4,1,0,0,5,5,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53057940500,53057940500,"Census Tract 9405, Skagit County, Washington",2467,2352,2148,31,43,57,5,68,115,105,18,33,26,3,16,2,0,1,0,0,0,0,4,2,0,9,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53057940600,53057940600,"Census Tract 9406, Skagit County, Washington",1530,1484,1395,13,28,21,0,27,46,45,6,26,8,0,4,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53057940700,53057940700,"Census Tract 9407, Skagit County, Washington",1562,1506,1415,18,19,22,0,32,56,55,4,26,15,3,6,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53057940800,53057940800,"Census Tract 9408, Skagit County, Washington",3010,2940,2213,7,681,18,3,18,70,67,9,42,2,1,4,2,0,0,0,4,1,1,1,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53057950100,53057950100,"Census Tract 9501, Skagit County, Washington",873,847,813,10,11,8,0,5,26,25,2,16,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53057950800,53057950800,"Census Tract 9508, Skagit County, Washington",6015,5855,5523,16,59,74,21,162,160,154,21,67,35,3,18,3,0,0,0,0,0,0,6,1,0,5,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53057950900,53057950900,"Census Tract 9509, Skagit County, Washington",4071,3952,3528,59,231,22,23,89,119,112,13,45,12,3,9,11,5,1,1,4,4,1,1,2,0,7,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
